ds,y,yhat_arima,lower_bound_arima,upper_bound_arima,yhat_prophet,lower_bound_prophet,upper_bound_prophet,yhat_ensemble
1960-01-01,0.0011573091,24674171207.390682,-440827978368.5436,490176320783.32495,-24566627839.722168,-157800340920.004,105663282305.37682,53771683.834257126
1961-01-01,0.0016919273,40554697026.349174,-315719337387.46436,396828731440.1627,5181857016.884644,-120233263484.62657,140763558890.27612,22868277021.61691
1962-01-01,0.0027098909,55289587268.25736,-276636340987.85876,387215515524.37354,5340421621.336548,-130469277855.82527,139730783251.89343,30315004444.796955
1963-01-01,0.0048639273,61501271329.81868,-268323201586.43298,391325744246.0703,-4285518821.100647,-144976301821.55728,131737567109.36504,28607876254.359016
1964-01-01,0.0095322182,58962552533.434654,-270580795675.90927,388505900742.77856,-23733063368.304626,-155469908120.99506,112587674485.30945,17614744582.565014
1965-01-01,0.0155134545,54072910373.576836,-274335341414.63892,382481162161.7926,6015422468.391541,-124530911710.0953,151699891499.7415,30044166420.984188
1966-01-01,0.0228323636,50835417268.06132,-276983676204.24524,378654510740.3679,6173988050.228149,-129896693881.96585,152057960283.79077,28504702659.144733
1967-01-01,0.0301029091,49731020146.40033,-278010703209.7113,377472743502.51196,-3451947153.595276,-144344175539.3485,135690230909.17915,23139536496.402527
1968-01-01,0.0418803636,49942758791.40823,-277795993930.14954,377681511512.96594,-22899486462.156677,-158742830668.12244,107826004213.79674,13521636164.625778
1969-01-01,0.0550545455,50579925087.76514,-277132154379.4004,378292004554.93066,6849004402.3797,-133489740552.88168,145902074340.69757,28714464745.07242
1970-01-01,0.0706601105,51088301032.2325,-276607225041.2556,378783827105.7206,7007574998.279724,-126672940881.44278,156982098004.61044,29047938015.25611
1971-01-01,0.0939258602,51297615570.62863,-276395160087.9917,378990391229.2489,-2618359854.505188,-145412955899.4844,132402364838.22362,24339627858.06172
1972-01-01,0.1260293808,51282156603.28046,-276410604175.32086,378974917381.8818,-22065898812.06732,-165950842469.68054,119917768179.96204,14608128895.606567
1973-01-01,0.1861215459,51182492303.47441,-276509649627.19946,378874634234.1483,7682595267.467957,-127339026222.22214,152558585884.86154,29432543785.471184
1974-01-01,0.2709586014,51096904008.21616,-276594779757.1212,378788587773.5536,7841169069.530884,-125810676583.39781,147387995849.34335,29469036538.873524
1975-01-01,0.3816427535,51058358391.83099,-276633232134.786,378749948918.448,-1784762445.7539673,-138022058847.35785,123170437472.48766,24636797973.038513
1976-01-01,0.5941683927,51057490752.42276,-276634099726.88135,378749081231.7268,-21232298065.889526,-160434393340.1554,113831961803.87924,14912596343.266617
1977-01-01,0.9065374124,51072343367.91508,-276619233246.3135,378763919982.1437,8516351557.928345,-128881725649.8351,141414716353.9229,29794347462.92171
1978-01-01,1.315362053,51086415892.664955,-276605148281.9258,378777980067.25574,8675080479.261414,-121549173134.21083,152302154357.1004,29880748185.963184
1979-01-01,2.1677221866,51093374998.359436,-276598186135.8279,378784936132.54675,-950696763.8968506,-141548622562.82434,137320426849.04593,25071339117.231293
1980-01-01,4.5482930909,51094080548.40509,-276597480554.5387,378785641651.3489,-20398078111.784363,-154959016980.53726,114355222682.14304,15348001218.310364
1981-01-01,8.7330138182,51091903325.299706,-276599657480.13446,378783464130.7338,9350568865.284851,-126858733510.19673,144677050429.45175,30221236095.29228
1982-01-01,17.7020792727,51089606088.67832,-276601954385.5145,378781166562.8712,9509295147.29712,-129969894024.71892,142733279405.105,30299450617.98772
1983-01-01,39.7768487273,51088369584.67177,-276603190793.5436,378779929962.8871,-112125923.89526367,-134675561367.07547,139620217853.49628,25488121830.388252
1984-01-01,126.5040054545,51088161358.624176,-276603399016.8688,378779721734.11707,-19555151099.831238,-153393669558.00253,122122380838.24911,15766505129.39647
1985-01-01,475.5340421818,51088471683.559,-276603088685.8923,378780032053.0103,10223628171.550049,-116648684240.95944,154220750285.5531,30656049927.554523
1986-01-01,1273.6839276364,51088843211.00529,-276602717149.7999,378780403571.81055,10440760981.193665,-124823688012.03465,152627452847.30267,30764802096.099476
1987-01-01,4037.8057352727,51089060830.9559,-276602499526.9033,378780621188.8152,873389194.9185181,-138008043785.3303,145504359477.80722,25981225012.93721
1988-01-01,29375.6302541818,51089113297.276306,-276602447060.4309,378780673654.9835,-18427783082.826904,-163409341716.4089,120038374509.96455,16330665107.2247
1989-01-01,425595.310393455,51089098937.615685,-276602461419.97766,378780659295.209,11467474611.138062,-118507634054.49678,142668470319.69653,31278286774.376873
1990-01-01,11548794.5454545,51089475859.54965,-276602084497.82263,378781036216.9219,11838307425.619568,-130324616507.48154,144007416543.68552,31463891642.58461
1991-01-01,60286000.0,51101569142.571335,-276589991214.71277,378793129499.85547,2424635644.169983,-132022286923.3973,126510674462.32793,26763102393.37066
1992-01-01,640958800.0,51158448689.32074,-276533111667.9564,378850009046.5979,102227691080.76215,-29922291834.37054,232791442631.1843,76693069885.04144
1993-01-01,14097114200.0,51802247576.69713,-275889312780.57806,379493807933.97235,251553489441.75003,112687634192.50737,402447165918.763,151677868509.22357
1994-01-01,349204679000.0,66515059660.27085,-261176500696.9988,394206620017.5405,394926859953.245,267532294310.55786,530779169678.4897,230720959806.75793
1995-01-01,705991552900.0,432609311213.61176,104917750856.34467,760300871570.8789,528515725868.71246,394771379320.81573,668079009779.2703,480562518541.1621
1996-01-01,854763607800.0,949887072207.2415,622195511849.9746,1277578632564.5083,652287589455.0713,520105840601.0959,789739227798.1476,801087330831.1564
1997-01-01,952089196100.0,1227162122188.841,899470561831.5742,1554853682546.108,825647863933.4309,697228115502.2816,964211383658.3099,1026404993061.136
1998-01-01,1002351019200.0,1289447419998.777,961755859641.5104,1617138980356.044,969026050334.8533,834902636107.4559,1105553796123.8452,1129236735166.8152
1999-01-01,1087710456100.0,1230612645405.8037,902921085048.5371,1558304205763.0703,1102619732140.4194,962071018750.3618,1234320631508.8462,1166616188773.1116
2000-01-01,1199092070900.0,1213025350101.386,885333789744.1194,1540716910458.6526,1226393653754.8948,1093760633265.5879,1366535394835.3171,1219709501928.1404
2001-01-01,1315755467800.0,1289935608105.446,962244047748.1794,1617627168462.7126,1399755991900.1572,1274310324333.3733,1535380644736.9346,1344845800002.8018
2002-01-01,1488787255200.0,1427586568777.3562,1099895008420.0896,1755278129134.6228,1582581192081.0671,1444686988285.0618,1714868391704.8718,1505083880429.2117
2003-01-01,1717950396400.0,1640470627735.8042,1312779067378.5376,1968162188093.0708,1755621887666.1182,1617284766787.4294,1897321012610.6045,1698046257700.9612
