,date,target,pred,lower,upper
0,1960-01-01,24200001500.0,,,
1,1961-01-01,24700000300.0,,,
2,1962-01-01,24600000500.0,,,
3,1963-01-01,33800003600.0,,,
4,1964-01-01,36000002000.0,,,
5,1965-01-01,45299998700.0,,,
6,1966-01-01,62999998500.0,,,
7,1967-01-01,75300003800.0,,,
8,1968-01-01,61800001500.0,,,
9,1969-01-01,63400001500.0,,,
10,1970-01-01,78699896800.0,,,
11,1971-01-01,82399903700.0,,,
12,1972-01-01,71799996400.0,,,
13,1973-01-01,77999996900.0,,,
14,1974-01-01,96999997400.0,,,
15,1975-01-01,106499997700.0,,,
16,1976-01-01,115000000500.0,,,
17,1977-01-01,132900003800.0,,,
18,1978-01-01,148500004900.0,,,
19,1979-01-01,161599995900.0,,,
20,1980-01-01,160599998500.0,,,
21,1981-01-01,172200001500.0,,,
22,1982-01-01,172674416728.57144,,,
23,1983-01-01,173148831957.14285,,,
24,1984-01-01,173623247185.7143,,,
25,1985-01-01,174097662414.2857,,,
26,1986-01-01,174572077642.85715,,,
27,1987-01-01,175046492871.42856,,,
28,1988-01-01,175520908100.0,,,
29,1989-01-01,175995323328.57144,,,
30,1990-01-01,176469738557.14285,,,
31,1991-01-01,176944153785.7143,,,
32,1992-01-01,177418569014.2857,,,
33,1993-01-01,177892984242.85715,,,
34,1994-01-01,178367399471.42856,,,
35,1995-01-01,178841814700.0,,,
36,1996-01-01,179316229928.57144,,,
37,1997-01-01,179790645157.14285,,,
38,1998-01-01,180265060385.7143,,,
39,1999-01-01,180739475614.2857,,,
40,2000-01-01,181213890842.85715,,,
41,2001-01-01,181688306071.42856,,,
42,2002-01-01,182162721300.0,,,
43,2003-01-01,221358563000.0,,,
44,2004-01-01,249791940700.0,,,
45,2005-01-01,308163225800.0,,,
46,2006-01-01,348048404600.0,,,
47,2007-01-01,485419056200.0,,,
48,2008-01-01,515046858600.0,,,
49,2009-01-01,611692107000.0,,,
50,2010-01-01,726231122700.0,,,
51,2011-01-01,850347275400.0,,,
52,2012-01-01,1028794220100.0,,,
53,2013-01-01,1138809791300.0,,,
54,2014-01-01,1176469485800.0,,,
55,2015-01-01,1222756495400.0,,,
56,2016-01-01,1222916881100.0,,,
57,2017-01-01,1285460326500.0,,,
58,2018-01-01,1327690394700.0,,,
59,2019-01-01,1469596303300.0,,,
60,2020-01-01,1547289027600.0,,,
61,2021-01-01,1232858252900.0,,,
62,2022-01-01,1232858252900.0,,,
63,2023-01-01,,1209048962175.3647,1095216744241.6722,1322881180109.0574
64,2024-01-01,,1215010125034.6692,1032576209739.3074,1397444040330.031
65,2025-01-01,,1225776041922.224,981285241507.4384,1470266842337.0098
66,2026-01-01,,1241142341872.0105,942706596935.5884,1539578086808.4326
67,2027-01-01,,1258216526869.4521,911977486284.1215,1604455567454.7827
68,2028-01-01,,1276245273000.23,887106952026.6167,1665383593973.8433
69,2029-01-01,,1294709295724.9873,866526634925.7189,1722891956524.2559
70,2030-01-01,,1313391804586.9346,849248863741.4067,1777534745432.4624
